Image Name,Predicted Class
068_073+42.jpg,1
084_098+1.jpg,2
158_190+28.jpg,1
170_175+7.jpg,1
196_165+37.jpg,0
021_100+5.jpg,2
003_028+43.jpg,1
322_190+28.jpg,0
127_101+22.jpg,0
182_187+6-ball.jpg,2
018_064+9.jpg,2
032_064+21.jpg,2
024_190+28.jpg,0
013_066+30.jpg,2
080_066+23.jpg,0
310_190+28.jpg,2
086_187+6-ball.jpg,0
090_187+6.jpg,2
102_101+22.jpg,2
118_139+36.jpg,1
043_187+6.jpg,2
134_157+93.jpg,1
049_165+37.jpg,2
074_066+23.jpg,2
019_019+15.jpg,1
107_175+7.jpg,2
383_414+63.jpg,1
110_106+8.jpg,0
013_021+17.jpg,1
011_098+1.jpg,2
266_190+28.jpg,2
017_021+4.jpg,1
128_187+6-ball.jpg,2
129_175+7.jpg,1
052_066+13.jpg,1
012_187+6-ball.jpg,2
204_187+6.jpg,0
148_190+28.jpg,2
031_098+1.jpg,2
006_071+24.jpg,2
002_022+26.jpg,2
014_101+22.jpg,2
089_139+36.jpg,2
010_139+36.jpg,2
010_062+31.jpg,2
072_086+94.jpg,2
023_073+42.jpg,2
126_165+37.jpg,2
050_101+22.jpg,2
055_187+6-ball.jpg,0
FIR+60.jpg,1
144_157+79.jpg,1
033_187+6-ball.jpg,0
074_098+1.jpg,2
010_066+23.jpg,2
330_190+28.jpg,0
131_108+34.jpg,1
069_187+6.jpg,0
GRA+13.jpg,1
130_187+6.jpg,2
049_101+22.jpg,2
007_071+25.jpg,2
109_106+8.jpg,0
041_139+36.jpg,2
143_168+84.jpg,1
107_187+6-ball.jpg,2
100_139+36.jpg,0
005_018+16.jpg,2
040_190+28.jpg,2
190_190+28.jpg,1
065_071+25.jpg,1
MET+84.jpg,1
173_187+6.jpg,1
019_086+95.jpg,2
189_SV-P+49.jpg,0
048_102+14.jpg,2
064_190+28.jpg,2
066_066+29.jpg,1
167_187+6-ball.jpg,1
174_165+37.jpg,0
019_021+46.jpg,1
041_062+31.jpg,2
050_064+21.jpg,2
087_102+14.jpg,2
021_021+46.jpg,1
240_190+28.jpg,2
235_190+28.jpg,2
083_066+30.jpg,0
149_187+6.jpg,1
067_086+94.jpg,2
018_098+1.jpg,2
076_187+6.jpg,2
153_175+7.jpg,1
054_064+9.jpg,1
030_165+37.jpg,2
083_101+22.jpg,2
084_190+28.jpg,2
075_187+6.jpg,2
023_078+45.jpg,2
143_187+6-ball.jpg,1
158_164+82.jpg,1
066_066+30.jpg,1
028_086+94.jpg,2
068_101+22.jpg,2
028_101+22.jpg,2
087_100+5.jpg,2
116_165+37.jpg,2
018_086+95.jpg,2
149_165+37.jpg,2
008_175+7.jpg,2
021_038+35.jpg,1
094_098+1.jpg,1
034_066+30.jpg,2
016_165+37.jpg,2
009_064+21.jpg,2
013_021+62.jpg,1
043_073+42.jpg,2
069_066+29.jpg,2
062_066+23.jpg,1
128_102+14.jpg,2
010_108+34.jpg,2
070_187+6-ball.jpg,0
327_190+28.jpg,0
041_078+44.jpg,2
017_066+30.jpg,2
010_086+95.jpg,2
017_064+21.jpg,2
042_175+7.jpg,2
049_139+36.jpg,2
079_SV-P+49.jpg,0
083_SV-P+49.jpg,1
047_190+28.jpg,2
045_073+42.jpg,2
124_156+75.jpg,1
002_190+28.jpg,2
260_190+28.jpg,2
006_175+7.jpg,2
006_008+11.jpg,2
145_165+37.jpg,0
007_187+6.jpg,2
038_100+5.jpg,2
084_066+23.jpg,0
083_100+5.jpg,2
090_101+22.jpg,1
013_086+95.jpg,2
088_066+29.jpg,0
046_SV-P+49.jpg,2
076_086+95.jpg,2
030_100+5.jpg,0
065_190+28.jpg,2
077_101+22.jpg,2
233_190+28.jpg,2
169_175+7.jpg,1
227_187+6.jpg,2
061_066+23.jpg,1
336_190+28.jpg,0
004_187+6-ball.jpg,0
023_108+34.jpg,2
019_071+39.jpg,2
070_066+30.jpg,0
048_071+25.jpg,2
036_SV-P+49.jpg,1
010_064+9.jpg,2
023_098+1.jpg,2
097_101+22.jpg,1
011_021+4.jpg,1
080_175+7.jpg,2
106_175+7.jpg,2
105_101+22.jpg,0
142_169+87.jpg,1
081_108+34.jpg,2
056_073+42.jpg,2
084_064+21.jpg,0
020_066+13.jpg,2
010_020+58.jpg,1
111_187+6.jpg,2
111_175+7.jpg,2
022_071+40.jpg,2
302_190+28.jpg,2
012_064+21.jpg,0
060_101+22.jpg,2
058_175+7.jpg,2
031_175+7.jpg,2
105_190+28.jpg,2
078_062+31.jpg,0
020_022+54.jpg,1
105_108+34.jpg,1
017_073+42.jpg,2
003_022+26.jpg,2
110_139+36.jpg,1
151_175+7.jpg,1
067_106+8.jpg,2
027_071+39.jpg,2
120_108+34.jpg,0
